descricao;ano_inicial;ano_final;anos_distintos;preco_inicial;preco_final;variacao_nominal_pct;ipca_periodo_pct;variacao_real_pct;diagnostico
MORANGO IN NATURA;2018;2023;5;4.5;8.97;99.33;32.8;50.25;⚠️ Pressão de demanda — subiu acima do IPCA
AGENDAMENTO DE ODONTOLOGIA;2016;2023;6;0.02;0.05;150.0;41.85;50.0;⚠️ Pressão de demanda — subiu acima do IPCA
ATENOLOL 50MG;2015;2018;4;0.02;0.03;30.0;13.53;50.0;⚠️ Pressão de demanda — subiu acima do IPCA
BROMETO DE N-BUTILESCOPOLAMINA 20MG/ML INJETÁVEL, AMPOLA 1ML;2019;2021;3;0.88;1.51;71.2;15.03;50.0;⚠️ Pressão de demanda — subiu acima do IPCA
NIFEDIPINO 10MG;2015;2018;3;0.02;0.03;26.09;13.53;50.0;⚠️ Pressão de demanda — subiu acima do IPCA
METRONIDAZOL 250MG CPR, EM BLISTER.;2019;2024;5;0.09;0.18;104.33;33.47;50.0;⚠️ Pressão de demanda — subiu acima do IPCA
METRONIDAZOL 250MG;2015;2018;3;0.06;0.1;51.85;13.53;50.0;⚠️ Pressão de demanda — subiu acima do IPCA
NIFEDIPINA 20 MG (RETARD) CPR;2016;2019;3;0.07;0.11;65.15;11.41;50.0;⚠️ Pressão de demanda — subiu acima do IPCA
ALOPURINOL 100MG CPR, EM BLISTER.;2019;2024;5;0.07;0.14;101.45;33.47;50.0;⚠️ Pressão de demanda — subiu acima do IPCA
LORATADINA 10MG CPR;2016;2020;4;0.04;0.08;90.48;16.45;50.0;⚠️ Pressão de demanda — subiu acima do IPCA
PARAFUSO CAB. CIL. M2X4 KAVO;2022;2025;4;4.96;8.5;71.37;14.35;50.0;⚠️ Pressão de demanda — subiu acima do IPCA
LIXEIRA 100 LITROS COM TAMPA E PEDAL;2018;2025;4;116.5;253.41;117.52;45.15;49.85;⚠️ Pressão de demanda — subiu acima do IPCA
COXA E SOBRECOXA DE FRANGO, SEM OSSO E SEM PELE, CONGELADA - NAS ESCOLAS;2018;2023;3;10.75;21.4;99.07;32.8;49.84;⚠️ Pressão de demanda — subiu acima do IPCA
MELAO;2015;2025;11;2.98;7.36;147.15;64.79;49.83;⚠️ Pressão de demanda — subiu acima do IPCA
CAFÉ MOIDO A VÁCUO EMBALAGEM  500GR;2015;2022;5;8.25;17.8;115.76;44.11;49.7;⚠️ Pressão de demanda — subiu acima do IPCA
ELETRODUTO CORRUGADO FLEXIVEL KANAFLEX 1.1/2;2015;2021;6;1.57;3.2;103.82;36.22;49.68;⚠️ Pressão de demanda — subiu acima do IPCA
ALHO.;2018;2024;3;4.8;10.0;108.33;39.22;49.65;⚠️ Pressão de demanda — subiu acima do IPCA
SACO PLASTICO;2018;2020;3;4.88;7.95;63.08;9.02;49.48;⚠️ Pressão de demanda — subiu acima do IPCA
TINTA CARIMBO VERMELHA;2018;2021;4;3.79;6.8;79.42;19.99;49.4;⚠️ Pressão de demanda — subiu acima do IPCA
GORDURA VEGETAL;2018;2023;5;7.56;15.0;98.41;32.8;49.4;⚠️ Pressão de demanda — subiu acima do IPCA
TINTA CARIMBO PRETA;2018;2021;4;3.79;6.8;79.42;19.99;49.4;⚠️ Pressão de demanda — subiu acima do IPCA
PACK DE BATERIA NI-MH 4,8V 2500MAH PARA OXÍMETRO DE PULSO MO;2019;2023;5;92.0;175.0;90.22;27.32;49.4;⚠️ Pressão de demanda — subiu acima do IPCA
SKATE PARA INICIANTES;2022;2024;3;58.3;95.49;63.79;9.68;49.31;⚠️ Pressão de demanda — subiu acima do IPCA
DOPAMINA 50MG/10ML - SOLUÇÃO INJ.;2016;2019;3;0.73;1.22;67.12;11.41;49.28;⚠️ Pressão de demanda — subiu acima do IPCA
RECAUCHUTAGEM DE PNEU12.5/ 80R18 DIANTEIRO;2016;2021;4;567.11;1084.05;91.15;28.16;49.15;⚠️ Pressão de demanda — subiu acima do IPCA
ELETRODUTO CORRUGADO FLEXIVEL KANAFLEX  2;2015;2021;6;1.77;3.6;103.39;36.22;49.15;⚠️ Pressão de demanda — subiu acima do IPCA
MANG. 1,6MM CRISTAL;2021;2025;5;4.72;8.5;80.08;20.97;49.13;⚠️ Pressão de demanda — subiu acima do IPCA
SUPRESSANTE;2019;2021;3;1300.0;2230.0;71.54;15.03;49.12;⚠️ Pressão de demanda — subiu acima do IPCA
FORRO DE PVC 100MM;2015;2018;4;8.45;14.3;69.23;13.53;49.11;⚠️ Pressão de demanda — subiu acima do IPCA
LÁPIS COLORIDO.;2015;2020;4;2.79;5.15;84.59;23.77;49.1;⚠️ Pressão de demanda — subiu acima do IPCA
ROLO COMPACTADOR BOMAG BW212 D40;2022;2025;4;13.5;23.0;70.37;14.35;48.93;⚠️ Pressão de demanda — subiu acima do IPCA
MOTORREDUTOR BOSCH  24V*;2022;2024;3;562.02;918.0;63.34;9.68;48.92;⚠️ Pressão de demanda — subiu acima do IPCA
FILTRO BRONZE SINTERIZADO MOEDA AHMC 5 / 6 /10 COM RESRV;2022;2024;3;47.52;77.6;63.29;9.68;48.88;⚠️ Pressão de demanda — subiu acima do IPCA
COADOR DE PANO;2020;2023;3;4.62;8.39;81.6;21.81;48.86;⚠️ Pressão de demanda — subiu acima do IPCA
CARNE BOVINA: COXÃO DE FORA RESFRIADO (COXÃO DURO);2018;2024;4;17.3;35.85;107.23;39.22;48.82;⚠️ Pressão de demanda — subiu acima do IPCA
ESTROGÊNIOS CONJUGADOS 0,625MG;2015;2019;5;0.39;0.68;75.64;18.42;48.72;⚠️ Pressão de demanda — subiu acima do IPCA
MOUSE USB;2015;2022;4;14.0;30.0;114.29;44.11;48.71;⚠️ Pressão de demanda — subiu acima do IPCA
PRANCHA DE EUCALIPTO BRUTA 3,00M X 0,20M X 0,06M;2015;2024;8;366.0;860.0;134.97;58.06;48.66;⚠️ Pressão de demanda — subiu acima do IPCA
FARINHA DE ROSCA;2015;2021;6;4.45;9.0;102.25;36.22;48.54;⚠️ Pressão de demanda — subiu acima do IPCA
MESA REDONDA PARA BIBILIOTECA, COM 04 CADEIRAS;2018;2020;3;685.0;1109.0;61.9;9.02;48.51;⚠️ Pressão de demanda — subiu acima do IPCA
FORRO DE PINUS 1ª;2015;2023;7;13.2;29.54;123.83;50.77;48.45;⚠️ Pressão de demanda — subiu acima do IPCA
LOURO FOLHA;2018;2023;3;1.38;2.73;97.83;32.8;48.36;⚠️ Pressão de demanda — subiu acima do IPCA
INTER. EMB 1 TEC-SIMPLES 006-ES;2015;2021;5;4.7;9.5;102.13;36.22;48.3;⚠️ Pressão de demanda — subiu acima do IPCA
TONER RICOH AFICIO MP171 E MP201 COMPATÍVEL;2019;2024;5;35.25;69.79;97.99;33.47;48.3;⚠️ Pressão de demanda — subiu acima do IPCA
PORTA CADEADO FZ 3. 1/2 X 89MM;2015;2018;4;3.9;6.56;68.33;13.53;48.21;⚠️ Pressão de demanda — subiu acima do IPCA
LANCHE NATURAL, SANDUICHE DE PÃO FRANCÊS;2015;2023;5;2.91;6.5;123.38;50.77;48.11;⚠️ Pressão de demanda — subiu acima do IPCA
VÁLVULA LAVATÓRIO (METAL);2015;2021;6;7.88;15.9;101.78;36.22;48.1;⚠️ Pressão de demanda — subiu acima do IPCA
CEBOLA DE CABEÇA - NAS ESCOLAS;2021;2024;3;3.67;6.31;71.93;16.03;48.05;⚠️ Pressão de demanda — subiu acima do IPCA
FARINHA DE ROSCA.;2018;2023;4;3.9;7.68;96.92;32.8;47.97;⚠️ Pressão de demanda — subiu acima do IPCA
LEITE SEM LACTOSE;2018;2024;7;3.9;8.05;106.41;39.22;47.97;⚠️ Pressão de demanda — subiu acima do IPCA
SUCO: NATURAL;2018;2022;3;16.45;30.9;87.84;26.94;47.96;⚠️ Pressão de demanda — subiu acima do IPCA
BALDE DE FERRO GALVANIZADO 10 LITROS;2015;2021;6;8.78;17.7;101.59;36.22;47.95;⚠️ Pressão de demanda — subiu acima do IPCA
"TEMPERO COMINHO;";2016;2019;3;2.31;3.8;64.5;11.41;47.93;⚠️ Pressão de demanda — subiu acima do IPCA
SUCO INTEGRAL;2015;2018;4;6.75;11.33;67.85;13.53;47.85;⚠️ Pressão de demanda — subiu acima do IPCA
MACARRÃO.;2015;2018;3;1.86;3.12;67.74;13.53;47.85;⚠️ Pressão de demanda — subiu acima do IPCA
CANALETA PVC COM TAMPA,LARGURA 20MM ALTURA 10MM E COMPRIMENT;2015;2021;6;3.7;7.45;101.35;36.22;47.84;⚠️ Pressão de demanda — subiu acima do IPCA
PÃO DÁGUA;2018;2021;4;10.15;18.0;77.34;19.99;47.76;⚠️ Pressão de demanda — subiu acima do IPCA
AGENDA;2015;2023;5;13.48;30.0;122.5;50.77;47.59;⚠️ Pressão de demanda — subiu acima do IPCA
LIDOCAINA SEM VASO CONSTRITOR 2% 20ML;2015;2018;4;1.45;2.43;67.59;13.53;47.59;⚠️ Pressão de demanda — subiu acima do IPCA
ROLO LÃ DE CARNEIRO 15CM C/ CABO;2015;2018;4;8.5;14.24;67.53;13.53;47.59;⚠️ Pressão de demanda — subiu acima do IPCA
TOMADA EXTERNA PARA TELEFONE RJ11;2015;2021;6;4.8;9.64;100.83;36.22;47.5;⚠️ Pressão de demanda — subiu acima do IPCA
LIXEIRA 15 LITROS COM TAMPA E PEDAL;2018;2024;3;12.9;26.46;105.12;39.22;47.36;⚠️ Pressão de demanda — subiu acima do IPCA
REFRIGERANTE SABOR LIMÃO;2018;2021;4;5.37;9.5;76.91;19.99;47.36;⚠️ Pressão de demanda — subiu acima do IPCA
MILHO PARA PIPOCA;2015;2025;8;3.63;8.8;142.42;64.79;47.11;⚠️ Pressão de demanda — subiu acima do IPCA
CLORETO DE SÓDIO 20%, AMPOLA 10ML.;2019;2024;5;0.2;0.39;95.5;33.47;47.06;⚠️ Pressão de demanda — subiu acima do IPCA
ACALCADOR DE BANDA C PONTA TRIANGULAR INVERTIDA;2023;2025;3;12.28;19.72;60.59;9.3;47.05;⚠️ Pressão de demanda — subiu acima do IPCA
REFRIGERANTE SABOR GUARANÁ;2018;2021;4;5.38;9.5;76.58;19.99;47.05;⚠️ Pressão de demanda — subiu acima do IPCA
PERNIL SUÍNO CORTADO EM CUBOS;2018;2024;7;14.1;28.86;104.68;39.22;47.02;⚠️ Pressão de demanda — subiu acima do IPCA
LUVAS DE BORRACHA;2016;2021;4;2.13;4.0;87.79;28.16;47.0;⚠️ Pressão de demanda — subiu acima do IPCA
CÂMARA DE AR 13;2019;2025;4;22.0;45.0;104.55;39.16;46.99;⚠️ Pressão de demanda — subiu acima do IPCA
JARRA 3,8 LITROS;2017;2025;3;9.9;21.9;121.21;50.59;46.85;⚠️ Pressão de demanda — subiu acima do IPCA
BATATA PALITO CONGELADA.;2018;2022;3;7.0;13.05;86.43;26.94;46.84;⚠️ Pressão de demanda — subiu acima do IPCA
CARTOLINA COM GRAMATURA MÍNIMA 180/GM2;2019;2022;4;37.5;66.99;78.64;21.69;46.8;⚠️ Pressão de demanda — subiu acima do IPCA
CEBOLA ROXA;2018;2021;4;5.05;8.89;76.04;19.99;46.74;⚠️ Pressão de demanda — subiu acima do IPCA
FRENTE FALSA 01 U PARA RACK 19;2019;2025;4;14.0;28.58;104.14;39.16;46.7;⚠️ Pressão de demanda — subiu acima do IPCA
CABO ALUMINIO MULTIPLEXADO 8,7/15KV 3X1X10+1+10MM TRIFASICO;2018;2021;4;3.09;5.44;76.05;19.99;46.69;⚠️ Pressão de demanda — subiu acima do IPCA
CURVA ESGOTO CURTA  40 X 90º;2015;2021;6;1.8;3.6;100.0;36.22;46.67;⚠️ Pressão de demanda — subiu acima do IPCA
BOBINA TERMICA;2018;2021;4;2.9;5.1;75.86;19.99;46.67;⚠️ Pressão de demanda — subiu acima do IPCA
COLORAU (COLORÍFICO);2018;2024;4;3.85;7.85;103.9;39.22;46.61;⚠️ Pressão de demanda — subiu acima do IPCA
"DETERGENTE LÍQUIDO NEUTRO DE USO GERAL 500 ML;";2018;2023;3;1.0;1.95;95.0;32.8;46.59;⚠️ Pressão de demanda — subiu acima do IPCA
PONTA DE ULTRASSON E5 -(ROSCA EXTERNA);2020;2024;4;140.0;262.0;87.14;27.7;46.55;⚠️ Pressão de demanda — subiu acima do IPCA
CONJUNTO BALDE/ESPREMEDOR;2015;2021;4;265.0;528.9;99.58;36.22;46.52;⚠️ Pressão de demanda — subiu acima do IPCA
TRENA (3M);2017;2021;4;7.35;13.4;82.31;24.48;46.43;⚠️ Pressão de demanda — subiu acima do IPCA
FARINHA DE ARROZ;2020;2023;3;4.64;8.28;78.45;21.81;46.4;⚠️ Pressão de demanda — subiu acima do IPCA
CLOREXIDINA ALCOÓLICA;2019;2024;4;7.86;15.36;95.42;33.47;46.39;⚠️ Pressão de demanda — subiu acima do IPCA
CALHA FLUORESCENTE  COMERCIAL 2 X 40W;2015;2017;3;11.8;18.9;60.17;9.43;46.36;⚠️ Pressão de demanda — subiu acima do IPCA
BOMBONA AGUA MINERAL 20 LITROS;2015;2025;7;9.98;24.06;141.08;64.79;46.29;⚠️ Pressão de demanda — subiu acima do IPCA
CONE DE PAPEL ABSORVENTE ESTÉRIL SEGUNDA SÉRIE-;2023;2025;3;34.62;55.31;59.76;9.3;46.17;⚠️ Pressão de demanda — subiu acima do IPCA
CANETA DE ALTA ROTACAO;2015;2025;9;386.1;929.99;140.87;64.79;46.17;⚠️ Pressão de demanda — subiu acima do IPCA
TOMATE;2015;2025;10;3.02;7.27;140.73;64.79;46.11;⚠️ Pressão de demanda — subiu acima do IPCA
PLANILHA DE VISITAS DOMICILIARES- CAPS II;2016;2022;5;6.5;12.89;98.31;35.58;46.08;⚠️ Pressão de demanda — subiu acima do IPCA
LIMPEZA DE AR SPLIT 9/24.000 BTUS;2015;2017;3;92.68;148.06;59.75;9.43;45.99;⚠️ Pressão de demanda — subiu acima do IPCA
RETROESCAVADEIRA NEW HOLLAND LB110;2021;2025;5;17.0;30.0;76.47;20.97;45.87;⚠️ Pressão de demanda — subiu acima do IPCA
MIRTAZAPINA 30MG CPR;2016;2019;3;0.51;0.83;62.75;11.41;45.83;⚠️ Pressão de demanda — subiu acima do IPCA
ATESTADO MÉDICO PARA GESTANTES;2016;2023;6;1.9;3.94;107.37;41.85;45.81;⚠️ Pressão de demanda — subiu acima do IPCA
GUARDANAPO DE PAPEL;2015;2023;5;0.95;2.09;120.0;50.77;45.79;⚠️ Pressão de demanda — subiu acima do IPCA
BOLO BRANCO;2015;2018;4;14.2;23.5;65.47;13.53;45.77;⚠️ Pressão de demanda — subiu acima do IPCA
BORRACHA DE VEDACAO PEDAL PROGRESSIVO GNATUS;2022;2025;4;3.0;5.0;66.67;14.35;45.67;⚠️ Pressão de demanda — subiu acima do IPCA
WEBCAM;2019;2024;3;129.0;250.8;94.42;33.47;45.66;⚠️ Pressão de demanda — subiu acima do IPCA
CABECA CANETA MRS-400;2016;2018;3;130.51;203.0;55.54;6.81;45.62;⚠️ Pressão de demanda — subiu acima do IPCA
ADAPTADOR CURTO SOLDAVEL 50 X 1.1/2;2015;2021;6;2.17;4.3;98.16;36.22;45.62;⚠️ Pressão de demanda — subiu acima do IPCA
AMINOFILINA 240 MG SOL. INJ.10 ML;2016;2020;4;0.61;1.02;67.87;16.45;45.61;⚠️ Pressão de demanda — subiu acima do IPCA
CABO ALUMINIO MULTIPLEXADO 8,7/15KV 1X1X25+1+25MM MONOFASICO;2018;2021;4;3.09;5.4;74.76;19.99;45.59;⚠️ Pressão de demanda — subiu acima do IPCA
ESPINAFRE;2015;2025;9;1.35;3.24;140.37;64.79;45.56;⚠️ Pressão de demanda — subiu acima do IPCA
VÁLVULA PARA EXTINTOR PQS;2015;2023;7;25.0;54.83;119.32;50.77;45.48;⚠️ Pressão de demanda — subiu acima do IPCA
ÁGUA OXIGENADA 10% - FR 100ML;2020;2023;3;1.5;2.65;76.67;21.81;45.45;⚠️ Pressão de demanda — subiu acima do IPCA
CONE GUTA PERCHA, #35/06 - 28MM;2020;2024;4;29.0;53.86;85.72;27.7;45.45;⚠️ Pressão de demanda — subiu acima do IPCA
PESCADO: PEIXE EM POSTA;2018;2024;5;14.4;29.15;102.43;39.22;45.43;⚠️ Pressão de demanda — subiu acima do IPCA
NISTATINA 100.000 UI/ML SUSPENSÃO ORAL  50ML;2015;2018;3;1.71;2.82;65.2;13.53;45.32;⚠️ Pressão de demanda — subiu acima do IPCA
TUBO CONCRETO 20CM;2015;2021;6;14.9;29.49;97.92;36.22;45.3;⚠️ Pressão de demanda — subiu acima do IPCA
ACÉM BOVINO MOÍDO;2018;2024;7;16.8;33.97;102.2;39.22;45.24;⚠️ Pressão de demanda — subiu acima do IPCA
BETERRABA;2015;2025;11;1.8;4.3;139.33;64.79;45.16;⚠️ Pressão de demanda — subiu acima do IPCA
PISO CERÂMICO 45 X 45 A PEI-4 (CHÃO);2015;2021;6;8.4;16.6;97.62;36.22;45.12;⚠️ Pressão de demanda — subiu acima do IPCA
VASELINA SÓLIDA 90 A 100G;2020;2024;4;8.4;15.57;85.36;27.7;45.07;⚠️ Pressão de demanda — subiu acima do IPCA
CARTUCHO HP C8727A 10ML PRETO (27);2018;2022;5;125.0;230.0;84.0;26.94;44.96;⚠️ Pressão de demanda — subiu acima do IPCA
PROTETOR 19,5X24;2016;2025;6;89.0;200.0;124.72;55.04;44.95;⚠️ Pressão de demanda — subiu acima do IPCA
ESCOVA DENTAL;2015;2023;5;1.58;3.45;118.35;50.77;44.94;⚠️ Pressão de demanda — subiu acima do IPCA
BROCA N° 9406 FG 19MM - MULTILAMINADA 30 LAMINAS OVAL;2023;2025;3;11.0;17.43;58.45;9.3;44.93;⚠️ Pressão de demanda — subiu acima do IPCA
VIGA DE EUCALIPTO COM NO MÍNIMO ¢ 0,50M;2018;2024;3;357.2;720.0;101.57;39.22;44.78;⚠️ Pressão de demanda — subiu acima do IPCA
REGISTRO PVC ESFERA 25MM;2015;2021;6;4.5;8.88;97.22;36.22;44.78;⚠️ Pressão de demanda — subiu acima do IPCA
ÓLEO LUBRIFICANTE MULTIVISCOCO SAE 15W40;2015;2021;7;1950.0;3845.0;97.18;36.22;44.75;⚠️ Pressão de demanda — subiu acima do IPCA
DESINFETANTE E SOLVENTE DE RESÍDUOS ODONTOLÓGICO.;2020;2025;5;26.0;50.08;92.62;33.14;44.65;⚠️ Pressão de demanda — subiu acima do IPCA
VW/8.150E DELIVERY(NACIONAL) 2008;2019;2025;7;8.0;16.1;101.25;39.16;44.63;⚠️ Pressão de demanda — subiu acima do IPCA
CUIDADOS PARA VASECTOMIA- 23X16 CM 2 VIAS AUTOCOPIATIVO;2016;2023;3;4.29;8.8;105.13;41.85;44.55;⚠️ Pressão de demanda — subiu acima do IPCA
FECHADURA, MATERIAL CAIXA AÇO ZINCADO (MAÇANETA TIPO L);2015;2018;4;25.9;42.48;64.03;13.53;44.48;⚠️ Pressão de demanda — subiu acima do IPCA
CABEÇA MONTADA 1:1 KAVO 505;2021;2024;4;331.69;556.0;67.63;16.03;44.46;⚠️ Pressão de demanda — subiu acima do IPCA
FARINHA DE CEREAIS - AVEIA;2016;2021;5;16.48;30.5;85.07;28.16;44.45;⚠️ Pressão de demanda — subiu acima do IPCA
CARNE BOVINA: ACÉM RESFRIADO;2018;2024;5;14.9;29.95;101.01;39.22;44.44;⚠️ Pressão de demanda — subiu acima do IPCA
PNEU NOVO 1100X20 COMPACTADOR 18 LONAS;2019;2025;3;1990.0;4000.0;101.01;39.16;44.44;⚠️ Pressão de demanda — subiu acima do IPCA
ACHOCOLATADO DIET;2015;2024;5;10.8;24.65;128.24;58.06;44.44;⚠️ Pressão de demanda — subiu acima do IPCA
AMINOFILINA 200 MG;2016;2019;3;0.1;0.16;60.7;11.41;44.44;⚠️ Pressão de demanda — subiu acima do IPCA
FORD/CARGO 2622 E(NACIONAL) 2009;2019;2025;7;8.0;16.08;100.94;39.16;44.41;⚠️ Pressão de demanda — subiu acima do IPCA
IVECO/GRANCLASS 150S21E (NACIONAL) 2017;2019;2025;7;8.0;16.08;100.94;39.16;44.41;⚠️ Pressão de demanda — subiu acima do IPCA
IVECO/CITYCLASS 70C17 (NACIONAL) 2016;2019;2025;7;8.0;16.08;100.94;39.16;44.41;⚠️ Pressão de demanda — subiu acima do IPCA
IVECO/CITYCLASS 70C17 (NACIONAL) 2014;2019;2025;7;8.0;16.08;100.94;39.16;44.41;⚠️ Pressão de demanda — subiu acima do IPCA
VIGA DE EUCALIPTO Ø 0,50M.;2015;2017;3;198.0;312.5;57.83;9.43;44.23;⚠️ Pressão de demanda — subiu acima do IPCA
COLA  EXTRA ADESIVO 1KG;2020;2023;4;10.25;18.0;75.61;21.81;44.2;⚠️ Pressão de demanda — subiu acima do IPCA
MAMAO FORMOSA;2018;2025;3;2.73;5.7;108.79;45.15;44.17;⚠️ Pressão de demanda — subiu acima do IPCA
PNEU NOVO 1300X24 12 LONAS;2016;2021;5;2360.0;4360.0;84.75;28.16;44.15;⚠️ Pressão de demanda — subiu acima do IPCA
OLEO LUBRIFICANTE MULTIFUNCIONAL UNITACTOR 10W30 PARA TRANSM;2018;2021;4;225.0;388.9;72.84;19.99;44.05;⚠️ Pressão de demanda — subiu acima do IPCA
PINÇA CHERON DESCARTÁVEL, EM POLIETILENO CRISTAL OU COR BRAN;2015;2022;6;0.84;1.75;109.58;44.11;44.05;⚠️ Pressão de demanda — subiu acima do IPCA
ÁGUA DESTILADA - GALÃO 5 (CINCO) LITROS;2020;2023;3;6.19;10.85;75.28;21.81;44.0;⚠️ Pressão de demanda — subiu acima do IPCA
MASSA DE PANETONE;2018;2023;5;170.0;325.0;91.18;32.8;43.96;⚠️ Pressão de demanda — subiu acima do IPCA
SOLUÇÃO ÁCIDA 5 LITROS LIMPEZA DE PISOS;2015;2021;6;17.8;34.9;96.07;36.22;43.93;⚠️ Pressão de demanda — subiu acima do IPCA
CANETA ESFEROGRÁFICA NA COR AZUL;2015;2018;4;35.5;58.0;63.38;13.53;43.92;⚠️ Pressão de demanda — subiu acima do IPCA
TECIDO PARA PATCHWORK;2018;2021;3;14.0;24.17;72.64;19.99;43.88;⚠️ Pressão de demanda — subiu acima do IPCA
ETIQUETA CARTA PARA IMPRESSORAS DISK JET E LASER REF. 3180;2015;2018;4;13.23;21.6;63.27;13.53;43.84;⚠️ Pressão de demanda — subiu acima do IPCA
COMPRESSA DE GAZE (TIPO QUEIJO) EM ROLO;2017;2022;5;50.0;94.7;89.4;31.69;43.82;⚠️ Pressão de demanda — subiu acima do IPCA
TAMPA UNIVERSAL LUERLOCK, ESTÉRIL, EPIROGÊNICA;2015;2021;4;0.16;0.32;101.92;36.22;43.75;⚠️ Pressão de demanda — subiu acima do IPCA
TINTA PARA CARIMBO 42ML (CORES VARIADAS);2016;2018;3;5.67;8.7;53.44;6.81;43.71;⚠️ Pressão de demanda — subiu acima do IPCA
PAPEL HIGIÊNICO 300M.;2018;2025;5;25.9;54.0;108.49;45.15;43.67;⚠️ Pressão de demanda — subiu acima do IPCA
LIXA ROLO  80;2015;2021;6;2.2;4.3;95.45;36.22;43.64;⚠️ Pressão de demanda — subiu acima do IPCA
LIVRO ATA 100 FOLHAS;2015;2018;4;9.0;14.68;63.06;13.53;43.61;⚠️ Pressão de demanda — subiu acima do IPCA
PÃO DOCE;2018;2021;4;10.45;18.0;72.25;19.99;43.59;⚠️ Pressão de demanda — subiu acima do IPCA
BUCHA REDUÇÃO ROSCAVEL 2 X 1 PVC;2015;2021;6;7.88;15.4;95.43;36.22;43.53;⚠️ Pressão de demanda — subiu acima do IPCA
OLEO 2T 8017;2015;2018;3;11.9;19.39;62.94;13.53;43.53;⚠️ Pressão de demanda — subiu acima do IPCA
SALBUTAMOL 100 MCG AEROSSOL ORAL COM 200 DOSES, FRASCO 10ML.;2019;2024;5;6.94;13.3;91.64;33.47;43.52;⚠️ Pressão de demanda — subiu acima do IPCA
PÊSSEGOS EM CALDA;2018;2024;6;7.33;14.64;99.66;39.22;43.34;⚠️ Pressão de demanda — subiu acima do IPCA
LIXA ROLO 100;2015;2021;6;2.1;4.1;95.24;36.22;43.33;⚠️ Pressão de demanda — subiu acima do IPCA
PASTA TIMBRADA DTT;2018;2021;3;1.1;1.9;72.73;19.99;43.3;⚠️ Pressão de demanda — subiu acima do IPCA
PREGO COM CABEÇA 18X24,PACOTE DE 01 KG;2015;2021;5;7.99;15.6;95.24;36.22;43.3;⚠️ Pressão de demanda — subiu acima do IPCA
OVOS  DE GALINHA;2015;2025;9;3.58;8.46;136.23;64.79;43.3;⚠️ Pressão de demanda — subiu acima do IPCA
REGISTRO DE FALTA DE PACIENTE A ATENDIMENTO ODONTOLÓGICO;2018;2022;4;8.68;15.8;82.03;26.94;43.27;⚠️ Pressão de demanda — subiu acima do IPCA
MARACUJA AZEDO;2016;2025;8;4.8;10.68;122.4;55.04;43.25;⚠️ Pressão de demanda — subiu acima do IPCA
LIDOCAINA 2% SEM VASO 20 ML;2016;2020;4;1.65;2.75;66.67;16.45;43.23;⚠️ Pressão de demanda — subiu acima do IPCA
LÁPIS PRETO GRAFITE 6B;2019;2023;5;5.75;10.5;82.61;27.32;43.21;⚠️ Pressão de demanda — subiu acima do IPCA
TEMPERO PRONTO;2015;2017;3;2.92;4.57;56.51;9.43;43.15;⚠️ Pressão de demanda — subiu acima do IPCA
CABO DE ALUMÍNIO COM EXTENSOR DE 1,60M.;2021;2024;3;23.15;38.43;66.0;16.03;43.08;⚠️ Pressão de demanda — subiu acima do IPCA
DESINFETANTE PARA USO GERAL 500 ML;2016;2021;4;12.0;22.0;83.33;28.16;43.05;⚠️ Pressão de demanda — subiu acima do IPCA
LUVA ELETRODUTO 1 PRETA;2015;2021;6;1.0;1.95;95.0;36.22;43.0;⚠️ Pressão de demanda — subiu acima do IPCA
PERA;2015;2018;4;4.49;7.29;62.36;13.53;42.98;⚠️ Pressão de demanda — subiu acima do IPCA
CARIMBO EM ESTOJO AUTO ENTINTADO TAM. 4,7 X 1,8;2015;2019;4;11.52;19.5;69.27;18.42;42.97;⚠️ Pressão de demanda — subiu acima do IPCA
BISCOITO DOCE SEM RECHEIO;2016;2022;5;3.15;6.1;93.65;35.58;42.91;⚠️ Pressão de demanda — subiu acima do IPCA
IBUPROFENO 300 MG CPR;2016;2019;3;0.07;0.12;67.86;11.41;42.86;⚠️ Pressão de demanda — subiu acima do IPCA
DOXAZOSINA 2 MG;2015;2018;4;0.07;0.11;62.17;13.53;42.86;⚠️ Pressão de demanda — subiu acima do IPCA
ABRAÇADEIRA PVC ELETRODUTO 1.1/2;2015;2021;6;1.75;3.4;94.29;36.22;42.86;⚠️ Pressão de demanda — subiu acima do IPCA
CARIMBO EM ESTOJO AUTO ENTINTADO TAM. 2,6 X 1,00;2015;2019;4;9.46;16.0;69.13;18.42;42.81;⚠️ Pressão de demanda — subiu acima do IPCA
CORRENTE PARA CADEADO 6MM;2015;2021;6;9.9;19.25;94.44;36.22;42.73;⚠️ Pressão de demanda — subiu acima do IPCA
ESCANINHO PARA CORRESPONDÊNCIA;2018;2021;4;34.7;59.4;71.18;19.99;42.7;⚠️ Pressão de demanda — subiu acima do IPCA
TECLADO ABNT 2 - USB - PT BR;2017;2024;3;45.0;92.7;106.0;44.44;42.63;⚠️ Pressão de demanda — subiu acima do IPCA
RETROESCAVADEIRA JCB 3CX;2021;2025;5;16.5;28.4;72.12;20.97;42.28;⚠️ Pressão de demanda — subiu acima do IPCA
FITA AUTO ADESIVA CREPE;2018;2021;4;6.45;11.0;70.54;19.99;42.25;⚠️ Pressão de demanda — subiu acima do IPCA
MOTORES (COMPRESSOR);2017;2022;3;373.93;700.0;87.2;31.69;42.15;⚠️ Pressão de demanda — subiu acima do IPCA
